token_id,count,probability
0,14,5.6616668756091345e-05
2,1,4.044047768292239e-06
3,17,6.874881206096807e-05
5,7,2.8308334378045673e-05
6,8,3.2352382146337914e-05
8,11,4.448452545121463e-05
9,3,1.2132143304876717e-05
11,3,1.2132143304876717e-05
12,16,6.470476429267583e-05
14,3,1.2132143304876717e-05
15,3,1.2132143304876717e-05
17,4,1.6176191073168957e-05
18,1,4.044047768292239e-06
20,2,8.088095536584479e-06
21,2,8.088095536584479e-06
36,15,6.066071652438359e-05
39,14,5.6616668756091345e-05
41,2,8.088095536584479e-06
42,11,4.448452545121463e-05
44,3,1.2132143304876717e-05
45,7,2.8308334378045673e-05
47,6,2.4264286609753434e-05
48,1,4.044047768292239e-06
50,5,2.0220238841461196e-05
51,1,4.044047768292239e-06
53,2,8.088095536584479e-06
54,4,1.6176191073168957e-05
56,3,1.2132143304876717e-05
59,1,4.044047768292239e-06
60,2,8.088095536584479e-06
72,4,1.6176191073168957e-05
74,1,4.044047768292239e-06
75,20,8.088095536584478e-05
77,9,3.639642991463015e-05
78,9,3.639642991463015e-05
80,12,4.852857321950687e-05
81,7,2.8308334378045673e-05
83,4,1.6176191073168957e-05
84,8,3.2352382146337914e-05
86,4,1.6176191073168957e-05
87,3,1.2132143304876717e-05
89,2,8.088095536584479e-06
90,5,2.0220238841461196e-05
92,2,8.088095536584479e-06
96,1,4.044047768292239e-06
108,10,4.044047768292239e-05
111,13,5.257262098779911e-05
113,1,4.044047768292239e-06
114,7,2.8308334378045673e-05
116,4,1.6176191073168957e-05
117,2,8.088095536584479e-06
120,9,3.639642991463015e-05
122,3,1.2132143304876717e-05
123,2,8.088095536584479e-06
125,1,4.044047768292239e-06
126,1,4.044047768292239e-06
144,24,9.705714643901374e-05
147,18,7.27928598292603e-05
149,15,6.066071652438359e-05
150,16,6.470476429267583e-05
152,15,6.066071652438359e-05
153,10,4.044047768292239e-05
155,2,8.088095536584479e-06
156,12,4.852857321950687e-05
158,7,2.8308334378045673e-05
159,4,1.6176191073168957e-05
162,8,3.2352382146337914e-05
164,2,8.088095536584479e-06
165,2,8.088095536584479e-06
167,1,4.044047768292239e-06
180,8,3.2352382146337914e-05
182,1,4.044047768292239e-06
183,11,4.448452545121463e-05
185,12,4.852857321950687e-05
186,3,1.2132143304876717e-05
188,1,4.044047768292239e-06
189,2,8.088095536584479e-06
191,1,4.044047768292239e-06
192,2,8.088095536584479e-06
197,1,4.044047768292239e-06
203,1,4.044047768292239e-06
216,3,1.2132143304876717e-05
219,4,1.6176191073168957e-05
221,4,1.6176191073168957e-05
222,2,8.088095536584479e-06
224,3,1.2132143304876717e-05
225,1,4.044047768292239e-06
228,1,4.044047768292239e-06
230,1,4.044047768292239e-06
234,1,4.044047768292239e-06
237,1,4.044047768292239e-06
288,7,2.8308334378045673e-05
290,2,8.088095536584479e-06
291,4,1.6176191073168957e-05
293,2,8.088095536584479e-06
294,7,2.8308334378045673e-05
296,4,1.6176191073168957e-05
299,1,4.044047768292239e-06
300,2,8.088095536584479e-06
303,3,1.2132143304876717e-05
306,2,8.088095536584479e-06
324,1,4.044047768292239e-06
327,4,1.6176191073168957e-05
329,6,2.4264286609753434e-05
330,3,1.2132143304876717e-05
333,1,4.044047768292239e-06
338,4,1.6176191073168957e-05
341,2,8.088095536584479e-06
347,1,4.044047768292239e-06
348,1,4.044047768292239e-06
360,22,8.896905090242927e-05
362,2,8.088095536584479e-06
363,39,0.00015771786296339734
365,12,4.852857321950687e-05
366,29,0.00011727738528047493
368,9,3.639642991463015e-05
369,7,2.8308334378045673e-05
371,3,1.2132143304876717e-05
372,26,0.00010514524197559822
374,15,6.066071652438359e-05
375,10,4.044047768292239e-05
377,3,1.2132143304876717e-05
378,8,3.2352382146337914e-05
380,2,8.088095536584479e-06
383,1,4.044047768292239e-06
396,5,2.0220238841461196e-05
398,1,4.044047768292239e-06
399,9,3.639642991463015e-05
401,5,2.0220238841461196e-05
402,7,2.8308334378045673e-05
404,7,2.8308334378045673e-05
405,3,1.2132143304876717e-05
408,2,8.088095536584479e-06
410,4,1.6176191073168957e-05
411,5,2.0220238841461196e-05
432,3,1.2132143304876717e-05
435,5,2.0220238841461196e-05
437,7,2.8308334378045673e-05
438,1,4.044047768292239e-06
440,2,8.088095536584479e-06
441,3,1.2132143304876717e-05
443,3,1.2132143304876717e-05
444,4,1.6176191073168957e-05
446,4,1.6176191073168957e-05
447,5,2.0220238841461196e-05
450,1,4.044047768292239e-06
468,8,3.2352382146337914e-05
470,3,1.2132143304876717e-05
471,5,2.0220238841461196e-05
473,2,8.088095536584479e-06
476,1,4.044047768292239e-06
477,2,8.088095536584479e-06
482,1,4.044047768292239e-06
504,2,8.088095536584479e-06
507,2,8.088095536584479e-06
509,1,4.044047768292239e-06
510,7,2.8308334378045673e-05
512,1,4.044047768292239e-06
516,6,2.4264286609753434e-05
518,5,2.0220238841461196e-05
522,3,1.2132143304876717e-05
524,1,4.044047768292239e-06
540,7,2.8308334378045673e-05
543,22,8.896905090242927e-05
545,6,2.4264286609753434e-05
546,6,2.4264286609753434e-05
548,19,7.683690759755254e-05
549,9,3.639642991463015e-05
551,5,2.0220238841461196e-05
552,12,4.852857321950687e-05
554,3,1.2132143304876717e-05
555,1,4.044047768292239e-06
557,5,2.0220238841461196e-05
560,2,8.088095536584479e-06
578,1,4.044047768292239e-06
581,2,8.088095536584479e-06
582,1,4.044047768292239e-06
585,1,4.044047768292239e-06
597,1,4.044047768292239e-06
615,4,1.6176191073168957e-05
617,1,4.044047768292239e-06
618,4,1.6176191073168957e-05
620,1,4.044047768292239e-06
621,1,4.044047768292239e-06
623,2,8.088095536584479e-06
624,6,2.4264286609753434e-05
629,1,4.044047768292239e-06
630,5,2.0220238841461196e-05
632,2,8.088095536584479e-06
635,2,8.088095536584479e-06
636,1,4.044047768292239e-06
648,12,4.852857321950687e-05
650,2,8.088095536584479e-06
651,12,4.852857321950687e-05
653,7,2.8308334378045673e-05
654,11,4.448452545121463e-05
656,5,2.0220238841461196e-05
657,2,8.088095536584479e-06
659,1,4.044047768292239e-06
660,6,2.4264286609753434e-05
662,4,1.6176191073168957e-05
663,3,1.2132143304876717e-05
665,1,4.044047768292239e-06
666,6,2.4264286609753434e-05
669,1,4.044047768292239e-06
684,7,2.8308334378045673e-05
687,1,4.044047768292239e-06
689,2,8.088095536584479e-06
690,2,8.088095536584479e-06
692,2,8.088095536584479e-06
695,2,8.088095536584479e-06
696,4,1.6176191073168957e-05
698,1,4.044047768292239e-06
702,2,8.088095536584479e-06
704,1,4.044047768292239e-06
705,1,4.044047768292239e-06
720,9,3.639642991463015e-05
723,6,2.4264286609753434e-05
725,7,2.8308334378045673e-05
726,2,8.088095536584479e-06
728,11,4.448452545121463e-05
729,6,2.4264286609753434e-05
731,2,8.088095536584479e-06
732,8,3.2352382146337914e-05
734,3,1.2132143304876717e-05
737,2,8.088095536584479e-06
756,15,6.066071652438359e-05
758,2,8.088095536584479e-06
759,8,3.2352382146337914e-05
761,4,1.6176191073168957e-05
762,13,5.257262098779911e-05
764,3,1.2132143304876717e-05
765,4,1.6176191073168957e-05
767,4,1.6176191073168957e-05
