[device] cuda | stock=000981_XSHE | sentence_preset_s2ip | topk=3
[data] /finance_ML/zhanghaohan/stock_language_model/saved_LOB_stream/processed_real_flow/pool_0709_0710_openbidanchor_txncomplete/final_result_for_merge_realflow_openbidanchor_txncomplete_20250709_000981XSHE_20260406_1233.joblib
[anchors] /finance_ML/zhanghaohan/GPT2_new_head/sentence_semantic_anchor/preset_anchors/preset_anchors.txt | n=128 | mean_last_hidden_over_valid_tokens
scripts/train_blankgpt2_sentence_preset_anchor_s2ip_txncomplete_single_day.py:413: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_amp)

Epoch 1/3:   0%|          | 0/596 [00:00<?, ?batch/s]scripts/train_blankgpt2_sentence_preset_anchor_s2ip_txncomplete_single_day.py:472: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  torch.cuda.amp.autocast(enabled=use_amp) if device.type == "cuda" else nullcontext()

Epoch 1/3:   0%|          | 1/596 [00:00<07:42,  1.29batch/s]
Epoch 1/3:   0%|          | 2/596 [00:01<06:01,  1.64batch/s]
Epoch 1/3:   1%|          | 3/596 [00:01<05:28,  1.80batch/s]
Epoch 1/3:   1%|          | 4/596 [00:02<05:12,  1.89batch/s]
Epoch 1/3:   1%|          | 5/596 [00:02<05:04,  1.94batch/s]
Epoch 1/3:   1%|          | 6/596 [00:03<04:58,  1.98batch/s]
Epoch 1/3:   1%|          | 7/596 [00:03<04:54,  2.00batch/s]
Epoch 1/3:   1%|▏         | 8/596 [00:04<04:52,  2.01batch/s]
Epoch 1/3:   2%|▏         | 9/596 [00:04<04:50,  2.02batch/s]
Epoch 1/3:   2%|▏         | 10/596 [00:05<04:48,  2.03batch/s]
Epoch 1/3:   2%|▏         | 11/596 [00:05<04:47,  2.03batch/s]
Epoch 1/3:   2%|▏         | 12/596 [00:06<04:46,  2.04batch/s]
Epoch 1/3:   2%|▏         | 13/596 [00:06<04:46,  2.04batch/s]
Epoch 1/3:   2%|▏         | 14/596 [00:07<04:45,  2.04batch/s]
Epoch 1/3:   3%|▎         | 15/596 [00:07<04:44,  2.04batch/s]
Epoch 1/3:   3%|▎         | 16/596 [00:08<04:44,  2.04batch/s]
Epoch 1/3:   3%|▎         | 17/596 [00:08<04:43,  2.04batch/s]
Epoch 1/3:   3%|▎         | 18/596 [00:09<04:42,  2.04batch/s]
Epoch 1/3:   3%|▎         | 19/596 [00:09<04:42,  2.04batch/s]
Epoch 1/3:   3%|▎         | 20/596 [00:10<04:41,  2.04batch/s]
Epoch 1/3:   4%|▎         | 21/596 [00:10<04:41,  2.04batch/s]
Epoch 1/3:   4%|▎         | 22/596 [00:11<04:40,  2.04batch/s]
Epoch 1/3:   4%|▍         | 23/596 [00:11<04:40,  2.04batch/s]
Epoch 1/3:   4%|▍         | 24/596 [00:12<04:39,  2.04batch/s]
Epoch 1/3:   4%|▍         | 25/596 [00:12<04:39,  2.04batch/s]
Epoch 1/3:   4%|▍         | 26/596 [00:13<04:38,  2.04batch/s]
Epoch 1/3:   5%|▍         | 27/596 [00:13<04:38,  2.04batch/s]
Epoch 1/3:   5%|▍         | 28/596 [00:13<04:37,  2.04batch/s]
Epoch 1/3:   5%|▍         | 29/596 [00:14<04:37,  2.04batch/s]
Epoch 1/3:   5%|▌         | 30/596 [00:14<04:36,  2.04batch/s]
Epoch 1/3:   5%|▌         | 31/596 [00:15<04:36,  2.04batch/s]
Epoch 1/3:   5%|▌         | 32/596 [00:15<04:35,  2.04batch/s]
Epoch 1/3:   6%|▌         | 33/596 [00:16<04:35,  2.04batch/s]
Epoch 1/3:   6%|▌         | 34/596 [00:16<04:34,  2.04batch/s]
Epoch 1/3:   6%|▌         | 35/596 [00:17<04:34,  2.04batch/s]
Epoch 1/3:   6%|▌         | 36/596 [00:17<04:34,  2.04batch/s]
Epoch 1/3:   6%|▌         | 37/596 [00:18<04:33,  2.04batch/s]
Epoch 1/3:   6%|▋         | 38/596 [00:18<04:32,  2.04batch/s]
Epoch 1/3:   7%|▋         | 39/596 [00:19<04:32,  2.04batch/s]
Epoch 1/3:   7%|▋         | 40/596 [00:19<04:32,  2.04batch/s]
Epoch 1/3:   7%|▋         | 41/596 [00:20<04:31,  2.04batch/s]
Epoch 1/3:   7%|▋         | 42/596 [00:20<04:31,  2.04batch/s]
Epoch 1/3:   7%|▋         | 43/596 [00:21<04:30,  2.04batch/s]
Epoch 1/3:   7%|▋         | 44/596 [00:21<04:30,  2.04batch/s]
Epoch 1/3:   8%|▊         | 45/596 [00:22<04:29,  2.04batch/s]
Epoch 1/3:   8%|▊         | 46/596 [00:22<04:29,  2.04batch/s]
Epoch 1/3:   8%|▊         | 47/596 [00:23<04:28,  2.04batch/s]
Epoch 1/3:   8%|▊         | 48/596 [00:23<04:28,  2.04batch/s]
Epoch 1/3:   8%|▊         | 49/596 [00:24<04:27,  2.04batch/s]
Epoch 1/3:   8%|▊         | 49/596 [00:24<04:27,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:   8%|▊         | 50/596 [00:24<04:27,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:   9%|▊         | 51/596 [00:25<04:26,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:   9%|▊         | 52/596 [00:25<04:26,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:   9%|▉         | 53/596 [00:26<04:25,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:   9%|▉         | 54/596 [00:26<04:25,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:   9%|▉         | 55/596 [00:27<04:24,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:   9%|▉         | 56/596 [00:27<04:24,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  10%|▉         | 57/596 [00:28<04:23,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  10%|▉         | 58/596 [00:28<04:23,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  10%|▉         | 59/596 [00:29<04:22,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  10%|█         | 60/596 [00:29<04:22,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  10%|█         | 61/596 [00:30<04:21,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  10%|█         | 62/596 [00:30<04:21,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  11%|█         | 63/596 [00:31<04:20,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  11%|█         | 64/596 [00:31<04:20,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  11%|█         | 65/596 [00:32<04:19,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  11%|█         | 66/596 [00:32<04:19,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  11%|█         | 67/596 [00:33<04:18,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  11%|█▏        | 68/596 [00:33<04:18,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  12%|█▏        | 69/596 [00:34<04:17,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  12%|█▏        | 70/596 [00:34<04:17,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  12%|█▏        | 71/596 [00:35<04:16,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  12%|█▏        | 72/596 [00:35<04:16,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  12%|█▏        | 73/596 [00:36<04:15,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  12%|█▏        | 74/596 [00:36<04:15,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  13%|█▎        | 75/596 [00:36<04:14,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  13%|█▎        | 76/596 [00:37<04:14,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  13%|█▎        | 77/596 [00:37<04:13,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  13%|█▎        | 78/596 [00:38<04:13,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  13%|█▎        | 79/596 [00:38<04:12,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  13%|█▎        | 80/596 [00:39<04:12,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  14%|█▎        | 81/596 [00:39<04:11,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  14%|█▍        | 82/596 [00:40<04:11,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  14%|█▍        | 83/596 [00:40<04:10,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  14%|█▍        | 84/596 [00:41<04:10,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  14%|█▍        | 85/596 [00:41<04:10,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  14%|█▍        | 86/596 [00:42<04:09,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  15%|█▍        | 87/596 [00:42<04:09,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  15%|█▍        | 88/596 [00:43<04:08,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  15%|█▍        | 89/596 [00:43<04:08,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  15%|█▌        | 90/596 [00:44<04:07,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  15%|█▌        | 91/596 [00:44<04:07,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  15%|█▌        | 92/596 [00:45<04:06,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  16%|█▌        | 93/596 [00:45<04:06,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  16%|█▌        | 94/596 [00:46<04:05,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  16%|█▌        | 95/596 [00:46<04:05,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  16%|█▌        | 96/596 [00:47<04:04,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  16%|█▋        | 97/596 [00:47<04:04,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  16%|█▋        | 98/596 [00:48<04:03,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  17%|█▋        | 99/596 [00:48<04:03,  2.04batch/s, align=0.283, ce=9.753, lam=5e-02]
Epoch 1/3:  17%|█▋        | 99/596 [00:49<04:03,  2.04batch/s, align=0.514, ce=8.809, lam=5e-02]
Epoch 1/3:  17%|█▋        | 100/596 [00:49<04:02,  2.04batch/s, align=0.514, ce=8.809, lam=5e-02]
Epoch 1/3:  17%|█▋        | 101/596 [00:49<04:02,  2.04batch/s, align=0.514, ce=8.809, lam=5e-02]
Epoch 1/3:  17%|█▋        | 102/596 [00:50<04:01,  2.04batch/s, align=0.514, ce=8.809, lam=5e-02]
Epoch 1/3:  17%|█▋        | 103/596 [00:50<04:01,  2.04batch/s, align=0.514, ce=8.809, lam=5e-02]
Epoch 1/3:  17%|█▋        | 104/596 [00:51<04:00,  2.04batch/s, align=0.514, ce=8.809, lam=5e-02]
Epoch 1/3:  18%|█▊        | 105/596 [00:51<04:00,  2.04batch/s, align=0.514, ce=8.809, lam=5e-02]
Epoch 1/3:  18%|█▊        | 106/596 [00:52<03:59,  2.04batch/s, align=0.514, ce=8.809, lam=5e-02]
Epoch 1/3:  18%|█▊        | 107/596 [00:52<03:59,  2.04batch/s, align=0.514, ce=8.809, lam=5e-02]
Epoch 1/3:  18%|█▊        | 108/596 [00:53<03:58,  2.04batch/s, align=0.514, ce=8.809, lam=5e-02]
Epoch 1/3:  18%|█▊        | 109/596 [00:53<03:58,  2.04batch/s, align=0.514, ce=8.809, lam=5e-02]
Epoch 1/3:  18%|█▊        | 110/596 [00:54<03:57,  2.04batch/s, align=0.514, ce=8.809, lam=5e-02]
Epoch 1/3:  19%|█▊        | 111/596 [00:54<03:57,  2.04batch/s, align=0.514, ce=8.809, lam=5e-02]
Epoch 1/3:  19%|█▉        | 112/596 [00:55<03:56,  2.04batch/s, align=0.514, ce=8.809, lam=5e-02]
Epoch 1/3:  19%|█▉        | 113/596 [00:55<03:56,  2.04batch/s, align=0.514, ce=8.809, lam=5e-02]
