token_id,count,probability
0,55,0.00017861840289166956
1,2,6.495214650606166e-06
2,8,2.5980858602424664e-05
3,36,0.00011691386371091099
4,1,3.247607325303083e-06
5,85,0.00027604662265076207
6,52,0.00016887558091576032
7,3,9.742821975909249e-06
8,81,0.0002630561933495497
9,12,3.8971287903636996e-05
10,1,3.247607325303083e-06
11,21,6.819975383136474e-05
12,15,4.8714109879546246e-05
13,1,3.247607325303083e-06
14,56,0.00018186601021697265
15,11,3.5723680578333913e-05
16,1,3.247607325303083e-06
17,22,7.144736115666783e-05
18,8,2.5980858602424664e-05
19,4,1.2990429301212332e-05
20,20,6.495214650606166e-05
21,5,1.6238036626515415e-05
23,13,4.221889522894008e-05
24,1,3.247607325303083e-06
26,9,2.9228465927727747e-05
29,8,2.5980858602424664e-05
32,7,2.273325127712158e-05
35,4,1.2990429301212332e-05
36,22,7.144736115666783e-05
37,3,9.742821975909249e-06
38,4,1.2990429301212332e-05
39,26,8.443779045788016e-05
41,48,0.00015588515161454799
42,34,0.00011041864906030482
43,2,6.495214650606166e-06
44,60,0.00019485643951818498
45,4,1.2990429301212332e-05
47,17,5.520932453015241e-05
48,17,5.520932453015241e-05
50,40,0.00012990429301212332
51,2,6.495214650606166e-06
52,1,3.247607325303083e-06
53,25,8.119018313257707e-05
54,10,3.247607325303083e-05
55,2,6.495214650606166e-06
56,22,7.144736115666783e-05
57,3,9.742821975909249e-06
59,11,3.5723680578333913e-05
60,1,3.247607325303083e-06
62,11,3.5723680578333913e-05
65,7,2.273325127712158e-05
68,6,1.9485643951818498e-05
71,5,1.6238036626515415e-05
72,24,7.794257580727399e-05
73,5,1.6238036626515415e-05
74,1,3.247607325303083e-06
75,19,6.170453918075857e-05
76,1,3.247607325303083e-06
77,52,0.00016887558091576032
78,25,8.119018313257707e-05
79,5,1.6238036626515415e-05
80,58,0.0001883612248675788
81,4,1.2990429301212332e-05
82,1,3.247607325303083e-06
83,10,3.247607325303083e-05
84,8,2.5980858602424664e-05
85,4,1.2990429301212332e-05
86,22,7.144736115666783e-05
87,5,1.6238036626515415e-05
89,16,5.196171720484933e-05
90,2,6.495214650606166e-06
92,16,5.196171720484933e-05
93,3,9.742821975909249e-06
95,15,4.8714109879546246e-05
98,4,1.2990429301212332e-05
101,5,1.6238036626515415e-05
104,5,1.6238036626515415e-05
107,6,1.9485643951818498e-05
108,11,3.5723680578333913e-05
109,4,1.2990429301212332e-05
110,4,1.2990429301212332e-05
111,12,3.8971287903636996e-05
112,1,3.247607325303083e-06
113,27,8.768539778318324e-05
114,10,3.247607325303083e-05
115,4,1.2990429301212332e-05
116,24,7.794257580727399e-05
117,3,9.742821975909249e-06
118,1,3.247607325303083e-06
119,12,3.8971287903636996e-05
120,9,2.9228465927727747e-05
121,1,3.247607325303083e-06
122,16,5.196171720484933e-05
123,1,3.247607325303083e-06
125,6,1.9485643951818498e-05
126,4,1.2990429301212332e-05
128,7,2.273325127712158e-05
129,1,3.247607325303083e-06
131,6,1.9485643951818498e-05
132,1,3.247607325303083e-06
134,3,9.742821975909249e-06
137,5,1.6238036626515415e-05
140,2,6.495214650606166e-06
143,4,1.2990429301212332e-05
144,32,0.00010392343440969866
145,1,3.247607325303083e-06
146,9,2.9228465927727747e-05
147,33,0.00010717104173500173
148,1,3.247607325303083e-06
149,103,0.0003345035545062175
150,30,9.742821975909249e-05
151,3,9.742821975909249e-06
152,96,0.00031177030322909597
153,10,3.247607325303083e-05
154,2,6.495214650606166e-06
155,19,6.170453918075857e-05
156,19,6.170453918075857e-05
157,2,6.495214650606166e-06
158,58,0.0001883612248675788
159,10,3.247607325303083e-05
161,23,7.46949684819709e-05
162,9,2.9228465927727747e-05
164,29,9.41806124337894e-05
165,4,1.2990429301212332e-05
167,10,3.247607325303083e-05
168,2,6.495214650606166e-06
170,16,5.196171720484933e-05
171,1,3.247607325303083e-06
173,5,1.6238036626515415e-05
176,19,6.170453918075857e-05
179,9,2.9228465927727747e-05
180,11,3.5723680578333913e-05
181,4,1.2990429301212332e-05
182,3,9.742821975909249e-06
183,12,3.8971287903636996e-05
184,2,6.495214650606166e-06
185,16,5.196171720484933e-05
186,11,3.5723680578333913e-05
187,1,3.247607325303083e-06
188,20,6.495214650606166e-05
189,6,1.9485643951818498e-05
190,1,3.247607325303083e-06
191,6,1.9485643951818498e-05
192,2,6.495214650606166e-06
193,2,6.495214650606166e-06
194,20,6.495214650606166e-05
195,2,6.495214650606166e-06
196,1,3.247607325303083e-06
197,5,1.6238036626515415e-05
198,1,3.247607325303083e-06
199,1,3.247607325303083e-06
200,8,2.5980858602424664e-05
203,6,1.9485643951818498e-05
206,4,1.2990429301212332e-05
209,3,9.742821975909249e-06
212,4,1.2990429301212332e-05
215,3,9.742821975909249e-06
216,6,1.9485643951818498e-05
217,1,3.247607325303083e-06
219,8,2.5980858602424664e-05
221,10,3.247607325303083e-05
222,5,1.6238036626515415e-05
223,3,9.742821975909249e-06
224,22,7.144736115666783e-05
225,1,3.247607325303083e-06
227,3,9.742821975909249e-06
228,5,1.6238036626515415e-05
230,6,1.9485643951818498e-05
232,2,6.495214650606166e-06
233,4,1.2990429301212332e-05
234,1,3.247607325303083e-06
236,5,1.6238036626515415e-05
237,1,3.247607325303083e-06
239,2,6.495214650606166e-06
245,1,3.247607325303083e-06
251,3,9.742821975909249e-06
288,9,2.9228465927727747e-05
289,1,3.247607325303083e-06
290,1,3.247607325303083e-06
291,9,2.9228465927727747e-05
293,18,5.8456931855455495e-05
294,5,1.6238036626515415e-05
295,1,3.247607325303083e-06
296,17,5.520932453015241e-05
297,3,9.742821975909249e-06
299,2,6.495214650606166e-06
300,3,9.742821975909249e-06
301,1,3.247607325303083e-06
302,13,4.221889522894008e-05
303,1,3.247607325303083e-06
305,6,1.9485643951818498e-05
308,4,1.2990429301212332e-05
311,2,6.495214650606166e-06
314,1,3.247607325303083e-06
320,2,6.495214650606166e-06
323,2,6.495214650606166e-06
324,6,1.9485643951818498e-05
327,1,3.247607325303083e-06
329,14,4.546650255424316e-05
330,3,9.742821975909249e-06
332,5,1.6238036626515415e-05
333,1,3.247607325303083e-06
335,4,1.2990429301212332e-05
336,4,1.2990429301212332e-05
338,9,2.9228465927727747e-05
341,5,1.6238036626515415e-05
342,1,3.247607325303083e-06
343,1,3.247607325303083e-06
344,3,9.742821975909249e-06
345,1,3.247607325303083e-06
347,2,6.495214650606166e-06
350,1,3.247607325303083e-06
356,1,3.247607325303083e-06
359,1,3.247607325303083e-06
360,47,0.0001526375442892449
362,7,2.273325127712158e-05
363,35,0.0001136662563856079
364,2,6.495214650606166e-06
365,104,0.00033775116183152064
366,50,0.00016238036626515414
367,1,3.247607325303083e-06
368,132,0.00042868416694000693
369,6,1.9485643951818498e-05
371,53,0.0001721231882410634
372,21,6.819975383136474e-05
373,1,3.247607325303083e-06
374,63,0.00020459926149409422
375,15,4.8714109879546246e-05
377,36,0.00011691386371091099
378,5,1.6238036626515415e-05
379,1,3.247607325303083e-06
380,21,6.819975383136474e-05
381,3,9.742821975909249e-06
383,22,7.144736115666783e-05
384,4,1.2990429301212332e-05
386,13,4.221889522894008e-05
389,11,3.5723680578333913e-05
392,16,5.196171720484933e-05
395,5,1.6238036626515415e-05
396,10,3.247607325303083e-05
397,1,3.247607325303083e-06
398,4,1.2990429301212332e-05
399,6,1.9485643951818498e-05
400,1,3.247607325303083e-06
401,29,9.41806124337894e-05
402,8,2.5980858602424664e-05
403,1,3.247607325303083e-06
404,29,9.41806124337894e-05
405,5,1.6238036626515415e-05
406,1,3.247607325303083e-06
407,13,4.221889522894008e-05
408,3,9.742821975909249e-06
409,1,3.247607325303083e-06
410,19,6.170453918075857e-05
412,1,3.247607325303083e-06
413,5,1.6238036626515415e-05
414,1,3.247607325303083e-06
415,1,3.247607325303083e-06
416,8,2.5980858602424664e-05
419,3,9.742821975909249e-06
422,4,1.2990429301212332e-05
425,7,2.273325127712158e-05
428,4,1.2990429301212332e-05
432,6,1.9485643951818498e-05
435,3,9.742821975909249e-06
436,1,3.247607325303083e-06
437,15,4.8714109879546246e-05
438,11,3.5723680578333913e-05
440,17,5.520932453015241e-05
441,2,6.495214650606166e-06
443,4,1.2990429301212332e-05
444,5,1.6238036626515415e-05
445,1,3.247607325303083e-06
446,9,2.9228465927727747e-05
447,1,3.247607325303083e-06
448,1,3.247607325303083e-06
449,6,1.9485643951818498e-05
450,3,9.742821975909249e-06
452,5,1.6238036626515415e-05
453,1,3.247607325303083e-06
455,6,1.9485643951818498e-05
458,4,1.2990429301212332e-05
467,1,3.247607325303083e-06
468,6,1.9485643951818498e-05
